ndcg%5,ndcg%10,ndcg%15,ndcg%20,ndcg%25,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20,r_precision,av_precision,reciprocal_rank,ndcg,ndcg@20,ndcg@50,facet,split,paper_id,title
0.22997440814155912,0.2786301910168428,0.3195510036701154,0.33072676016250985,0.3536192153353841,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06666666666666667,0.05714285714285715,0.06756756756756757,0.06340391240110219,0.05555555555555555,0.6561423899827876,0.26169400855895936,0.3391404169568137,background,test,10014168,Unsupervised Learning of Morphology without Morphemes
0.16587951611486065,0.1343603098274483,0.17146133418188433,0.18864979228984172,0.21679892944541485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0735930735930736,0.0633007640144621,0.034482758620689655,0.5741184854141594,0.1259536527225837,0.2002665727909661,background,test,10695055,Naturalizing a Programming Language via Interactive Learning
0.3622942238119067,0.44943994008301386,0.396395919228202,0.4140132231344183,0.4273314044030251,0.4,0.09523809523809523,0.15384615384615385,0.3,0.14285714285714285,0.19354838709677416,0.25,0.23809523809523808,0.24390243902439024,0.21212121212121213,0.23307584601858172,0.25,0.7365250924728034,0.40248931228752505,0.5026898966421143,background,test,5764728,Embedding Web-based Statistical Translation Models in Cross-Language Information Retrieval
0.3373519727104165,0.3079439422832607,0.31333269916853707,0.3251018747802951,0.343871629342746,0.2,0.08333333333333333,0.11764705882352941,0.3,0.25,0.2727272727272727,0.2,0.3333333333333333,0.25,0.1348314606741573,0.2363950258348956,1.0,0.6374343720793763,0.33942863868287254,0.43350738810100947,background,test,51977123,Methods to integrate a language model with semantic information for a word prediction component
0.0,0.037915766476917925,0.03346533409447682,0.10249735259867422,0.14082566796078516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061855670103092786,0.04580037149278441,0.041666666666666664,0.4328600636750755,0.08648499195306139,0.16613861042092098,background,test,929877,"paper_id
929877    Modelling Protagonist Goals and Desires in Fir...
929877    Modelling Protagonist Goals and Desires in Fir...
Name: title, dtype: object"
0.21325217472164382,0.28126874521530215,0.3441638872072986,0.34785537460554056,0.3856152730674628,0.2,0.05555555555555555,0.08695652173913045,0.3,0.16666666666666666,0.21428571428571427,0.2,0.2222222222222222,0.2105263157894737,0.20930232558139536,0.2377638520864188,0.3333333333333333,0.7100942325526415,0.3563647216667354,0.5056861603424503,background,test,3264891,"paper_id
3264891    Stacking classifiers for anti-spam filtering o...
3264891    Stacking classifiers for anti-spam filtering o...
Name: title, dtype: object"
0.23357229975454355,0.2452410959288955,0.24026346522389422,0.253210915639613,0.26393392646274166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.053083960055014055,0.02702702702702703,0.570795191574777,0.253210915639613,0.3453773057430036,background,test,1936997,"paper_id
1936997    ""Not not bad""is not""bad"": A distributional acc...
1936997    ""Not not bad""is not""bad"": A distributional acc...
Name: title, dtype: object"
0.2273069049765143,0.2967931915329046,0.37884813389654215,0.403580769680216,0.41450755356145724,0.2,0.037037037037037035,0.0625,0.3,0.1111111111111111,0.16216216216216217,0.35,0.25925925925925924,0.29787234042553196,0.22131147540983606,0.281172214342837,0.3333333333333333,0.715916411314241,0.38434432551457703,0.47330136588505334,background,test,11844559,"paper_id
11844559    Unsupervised Induction of Semantic Roles withi...
11844559    Unsupervised Induction of Semantic Roles withi...
Name: title, dtype: object"
0.17876704412303474,0.13359561166999506,0.15797091194297708,0.16136043347119627,0.23511096082503027,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1111111111111111,0.06896551724137932,0.0891089108910891,0.11020985949771381,0.06666666666666667,0.551392549582941,0.16136043347119627,0.35629632683048085,background,test,8781666,"paper_id
8781666    Learning to Win by Reading Manuals in a Monte-...
8781666    Learning to Win by Reading Manuals in a Monte-...
Name: title, dtype: object"
0.1590508200131597,0.14269840327958652,0.18019750023160694,0.23429989464309645,0.24356864969024783,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13333333333333333,0.1142857142857143,0.14018691588785046,0.12529599004808759,0.07142857142857142,0.566229447283243,0.2243694835961739,0.33533458406027045,background,test,1587,"paper_id
1587    Get out the vote: Determining support or oppos...
1587    Get out the vote: Determining support or oppos...
Name: title, dtype: object"
